user_id,date_visited
u001,2022-08-01
u001,2022-08-01
u004,2022-08-01
u005,2022-08-01
u005,2022-08-01
u003,2022-08-02
u004,2022-08-02
u004,2022-08-02
u004,2022-08-02
u004,2022-08-02
u005,2022-08-02
u005,2022-08-02
u001,2022-08-03
u002,2022-08-03
u002,2022-08-03
u004,2022-08-03
u005,2022-08-03
u001,2022-08-04
u004,2022-08-04
u005,2022-08-04
u001,2022-08-05
u004,2022-08-05
u005,2022-08-05
u006,2022-08-05
u004,2022-08-05
u005,2022-08-05
u006,2022-08-06
u006,2022-08-06
u003,2022-08-06
u003,2022-08-06
u003,2022-08-06
u004,2022-08-06
u005,2022-08-06
u006,2022-08-07
u001,2022-08-07
u001,2022-08-07
u001,2022-08-07
u003,2022-08-07
u004,2022-08-07
u005,2022-08-07
u006,2022-08-08
u001,2022-08-08
u002,2022-08-08
u002,2022-08-08
u002,2022-08-08
u003,2022-08-08
u003,2022-08-08
u004,2022-08-08
u005,2022-08-08
u005,2022-08-08
u001,2022-08-09
u003,2022-08-09
u003,2022-08-09
u004,2022-08-09
u005,2022-08-09
u001,2022-08-10
u002,2022-08-10
u003,2022-08-10
u004,2022-08-10
u005,2022-08-10
u001,2022-08-11
u002,2022-08-11
u003,2022-08-11
u004,2022-08-11
u005,2022-08-11
